Current Price,Link,Name,Old Price,Product code/number
$17.99,http://www.hm.com/us/product/63178?article=63178-A,Crushed-velvet Camisole Top,$24.99,63178-A
$6.99,http://www.hm.com/us/product/94115?article=94115-K,Jersey Top,$12.99,94115-K
$7.99,http://www.hm.com/us/product/56300?article=56300-A,Ribbed Jersey Top,$17.99,56300-A
$5.99,http://www.hm.com/us/product/66133?article=66133-B,Short Top,$9.99,66133-B
$12.99,http://www.hm.com/us/product/55410?article=55410-C,Mock-turtleneck Top,$17.99,55410-C
$9.99,http://www.hm.com/us/product/61712?article=61712-B,Draped Top,$19.99,61712-B
$19.99,http://www.hm.com/us/product/59588?article=59588-A,Pleated Top,$34.99,59588-A
$14.99,http://www.hm.com/us/product/63545?article=63545-B,Short Lace Top,$29.99,63545-B
$12.99,http://www.hm.com/us/product/58828?article=58828-A,Lace Camisole Top,$24.99,58828-A
$14.99,http://www.hm.com/us/product/67949?article=67949-B,Hemstitch-embroidered Top,$24.99,67949-B
$9.99,http://www.hm.com/us/product/59865?article=59865-C,Ribbed Sweater,$12.99,59865-C
$14.99,http://www.hm.com/us/product/67941?article=67941-A,Ribbed Top,$29.99,67941-A
$19.99,http://www.hm.com/us/product/71504?article=71504-B,Short Ruffled Top,$24.99,71504-B
$9.99,http://www.hm.com/us/product/68304?article=68304-B,Short Top,$14.99,68304-B
$20,http://www.hm.com/us/product/84923?article=84923-A,Embellished Chiffon Top,$39.99,84923-A
$14.99,http://www.hm.com/us/product/67941?article=67941-C,Ribbed Top,$29.99,67941-C
$19.99,http://www.hm.com/us/product/64062?article=64062-A,Long-sleeved Jersey Top,$24.99,64062-A
$9.99,http://www.hm.com/us/product/56148?article=56148-B,Ribbed Top,$19.99,56148-B
$9.99,http://www.hm.com/us/product/60245?article=60245-A,Sleeveless Top,$17.99,60245-A
$14.99,http://www.hm.com/us/product/61286?article=61286-A,Rib-knit Sweater,$24.99,61286-A
$9.99,http://www.hm.com/us/product/56148?article=56148-A,Ribbed Top,$19.99,56148-A
$12.99,http://www.hm.com/us/product/59539?article=59539-C,Glittery Bustier,$24.99,59539-C
$9.99,http://www.hm.com/us/product/69669?article=69669-A,Short Mesh Top,$14.99,69669-A
$14.99,http://www.hm.com/us/product/60791?article=60791-B,Bustier,$29.99,60791-B
$9.99,http://www.hm.com/us/product/58380?article=58380-C,Jersey Top,$14.99,58380-C
$19.99,http://www.hm.com/us/product/61034?article=61034-C,Glittery Top,$39.99,61034-C
$12.99,http://www.hm.com/us/product/62358?article=62358-B,Uni Tee,$19.99,62358-B
$9.99,http://www.hm.com/us/product/49630?article=49630-F,Jersey Top,$14.99,49630-F
$14.99,http://www.hm.com/us/product/56522?article=56522-E,Long-sleeved Top,$24.99,56522-E
$12.99,http://www.hm.com/us/product/56522?article=56522-C,Long-sleeved Top,$24.99,56522-C
$9.99,http://www.hm.com/us/product/63533?article=63533-D,Fitted Sweater,$29.99,63533-D
$9.99,http://www.hm.com/us/product/65389?article=65389-E,T-shirt with Printed Design,$14.99,65389-E
$14.99,http://www.hm.com/us/product/65855?article=65855-D,Loose-knit Top,$24.99,65855-D
$12.99,http://www.hm.com/us/product/42288?article=42288-B,Sleeveless Jersey Top,$24.99,42288-B
$7.99,http://www.hm.com/us/product/39799?article=39799-E,Jersey Top,$14.99,39799-E
$14.99,http://www.hm.com/us/product/53939?article=53939-A,Off-the-shoulder Top,$24.99,53939-A
$7.99,http://www.hm.com/us/product/66154?article=66154-A,Wide-cut T-shirt,$12.99,66154-A
$12.99,http://www.hm.com/us/product/64869?article=64869-E,Long-sleeved Linen Top,$24.99,64869-E
$9.99,http://www.hm.com/us/product/62525?article=62525-A,Wrap-front Sweater,$12.99,62525-A
$9.99,http://www.hm.com/us/product/68051?article=68051-B,Velour Camisole Top,$14.99,68051-B
$9.99,http://www.hm.com/us/product/57315?article=57315-C,Ribbed Top,$17.99,57315-C
$12.99,http://www.hm.com/us/product/68677?article=68677-A,Wide-cut T-shirt,$24.99,68677-A
$9.99,http://www.hm.com/us/product/30028?article=30028-S,Long-sleeved Jersey Top,$12.99,30028-S
$14.99,http://www.hm.com/us/product/65298?article=65298-B,Mesh Ruffled Top,$19.99,65298-B
